variant,temperature,condition_name,n_trials,n_with_judge,n_judge_label_ok,judge_presence_rate,judge_usable_rate
instruct_sft,1.0,asch_zhu_unbiased_unanimous_uncertain,400,400,369,1.0,0.9225
instruct_sft,1.0,authoritative_bias,400,400,375,1.0,0.9375
instruct_sft,1.0,authority_zhu_unbiased_trust,400,400,361,1.0,0.9025
instruct_sft,1.0,authority_zhu_unbiased_trust_da,400,400,360,1.0,0.9
instruct_sft,1.0,control,400,400,360,1.0,0.9
think,0.0,asch_zhu_unbiased_unanimous_confident,400,400,339,1.0,0.8475
think,0.0,authoritative_bias,400,400,342,1.0,0.855
think,0.0,authority_zhu_unbiased_trust,400,400,348,1.0,0.87
think,0.0,control,400,400,331,1.0,0.8275
think_dpo,0.0,asch_zhu_unbiased_unanimous_confident,400,400,318,1.0,0.795
think_dpo,0.0,authoritative_bias,400,400,338,1.0,0.845
think_dpo,0.0,authority_zhu_unbiased_trust,400,400,336,1.0,0.84
think_dpo,0.0,control,400,400,297,1.0,0.7425
think_dpo,0.6,asch_zhu_unbiased_unanimous_confident,400,400,337,1.0,0.8425
think_dpo,0.6,authoritative_bias,400,400,341,1.0,0.8525
think_dpo,0.6,authority_zhu_unbiased_trust,400,400,344,1.0,0.86
think_dpo,0.6,control,400,400,322,1.0,0.805
think_sft,0.0,asch_zhu_unbiased_unanimous_confident,400,400,337,1.0,0.8425
think_sft,0.0,authoritative_bias,400,400,346,1.0,0.865
think_sft,0.0,authority_zhu_unbiased_trust,400,400,354,1.0,0.885
think_sft,0.0,control,400,400,322,1.0,0.805
think_sft,0.6,asch_zhu_unbiased_unanimous_confident,400,400,340,1.0,0.85
think_sft,0.6,authoritative_bias,400,400,351,1.0,0.8775
think_sft,0.6,authority_zhu_unbiased_trust,400,400,360,1.0,0.9
think_sft,0.6,control,400,400,338,1.0,0.845
