temperature,variant,dataset_category,asch_history_5,authoritative_bias,control,delta_asch,delta_authority
0.2,instruct_sft,science,0.875,0.6170212765957447,0.5102040816326531,0.3647959183673469,0.10681719496309161
0.2,instruct_sft,truthfulness,0.86,0.6799999999999999,0.4897959183673469,0.37020408163265306,0.190204081632653
0.2,instruct_dpo,general,0.72,0.72,0.6458333333333333,0.07416666666666671,0.07416666666666671
0.2,instruct_dpo,knowledge,0.6,0.7346938775510203,0.5957446808510638,0.004255319148936176,0.13894919669995653
0.2,instruct_dpo,math,0.6421052631578947,0.6195652173913043,0.47777777777777775,0.164327485380117,0.14178743961352658
0.2,instruct_dpo,opinion,0.6599999999999999,0.76,0.5869565217391304,0.07304347826086954,0.17304347826086963
0.2,instruct_dpo,reasoning,0.54,0.64,0.5208333333333333,0.019166666666666776,0.11916666666666675
0.2,instruct_dpo,science,0.48,0.52,0.5531914893617021,-0.07319148936170217,-0.03319148936170213
0.2,instruct_dpo,truthfulness,0.54,0.5,0.5957446808510638,-0.055744680851063766,-0.0957446808510638
0.2,think,general,0.653061224489796,0.7346938775510203,0.34042553191489366,0.3126356925749023,0.39426834563612667
0.2,think,knowledge,0.5918367346938775,0.6122448979591837,0.27083333333333337,0.32100340136054417,0.3414115646258503
0.2,think,math,0.3146067415730337,0.3563218390804598,0.20879120879120883,0.10581553278182487,0.14753063028925095
0.2,think,opinion,0.7446808510638299,0.6799999999999999,0.5,0.24468085106382986,0.17999999999999994
0.2,think,reasoning,0.74,0.76,0.45833333333333337,0.2816666666666666,0.30166666666666664
0.2,think,science,0.44680851063829785,0.40816326530612246,0.5106382978723405,-0.06382978723404265,-0.10247503256621804
0.2,think,truthfulness,0.74,0.7346938775510203,0.5510204081632653,0.18897959183673474,0.18367346938775508
0.2,think_sft,general,0.5800000000000001,0.52,0.3111111111111111,0.26888888888888896,0.2088888888888889
0.2,think_sft,knowledge,0.6599999999999999,0.625,0.33333333333333337,0.32666666666666655,0.29166666666666663
0.2,think_sft,math,0.36046511627906974,0.39560439560439564,0.26436781609195403,0.09609730018711571,0.1312365795124416
0.2,think_sft,opinion,0.7,0.8367346938775511,0.44680851063829785,0.2531914893617021,0.3899261832392532
0.2,think_sft,reasoning,0.6599999999999999,0.8,0.4375,0.22249999999999992,0.36250000000000004
0.2,think_sft,science,0.5,0.5625,0.30612244897959184,0.19387755102040816,0.25637755102040816
0.2,think_sft,truthfulness,0.6599999999999999,0.6799999999999999,0.38,0.2799999999999999,0.29999999999999993
0.2,think_dpo,general,0.6458333333333333,0.5800000000000001,0.4565217391304348,0.18931159420289845,0.12347826086956526
0.2,think_dpo,knowledge,0.56,0.7959183673469388,0.36170212765957444,0.19829787234042562,0.43421623968736434
0.2,think_dpo,math,0.3222222222222222,0.348314606741573,0.2592592592592593,0.06296296296296289,0.0890553474823137
0.2,think_dpo,opinion,0.64,0.7755102040816326,0.54,0.09999999999999998,0.2355102040816326
0.2,think_dpo,reasoning,0.54,0.7346938775510203,0.3877551020408163,0.15224489795918372,0.346938775510204
0.2,think_dpo,science,0.35416666666666663,0.4897959183673469,0.3555555555555555,-0.001388888888888884,0.1342403628117914
0.2,think_dpo,truthfulness,0.41860465116279066,0.7045454545454546,0.40909090909090906,0.009513742071881603,0.2954545454545455
0.4,base,general,0.74,0.6666666666666667,0.7021276595744681,0.03787234042553189,-0.03546099290780136
0.4,base,knowledge,0.78,0.7291666666666667,0.6734693877551021,0.1065306122448979,0.05569727891156462
0.4,base,math,0.6699999999999999,0.7052631578947368,0.6161616161616161,0.053838383838383796,0.08910154173312068
0.4,base,opinion,0.8125,0.8163265306122449,0.6595744680851063,0.15292553191489366,0.15675206252713858
0.4,base,reasoning,0.5510204081632653,0.7,0.4693877551020408,0.08163265306122447,0.23061224489795917
0.4,base,science,0.6122448979591837,0.5918367346938775,0.6304347826086957,-0.01818988464951199,-0.038598047914818134
0.4,base,truthfulness,0.6599999999999999,0.6326530612244898,0.653061224489796,0.006938775510203943,-0.020408163265306145
0.4,instruct,general,0.7,0.7291666666666667,0.6,0.09999999999999998,0.12916666666666676
0.4,instruct,knowledge,0.6599999999999999,0.7755102040816326,0.6444444444444444,0.015555555555555545,0.13106575963718825
0.4,instruct,math,0.48958333333333337,0.6086956521739131,0.4736842105263158,0.01589912280701755,0.13501144164759726
0.4,instruct,opinion,0.7346938775510203,0.7346938775510203,0.6444444444444444,0.09024943310657596,0.09024943310657596
0.4,instruct,reasoning,0.7,0.6799999999999999,0.5,0.19999999999999996,0.17999999999999994
0.4,instruct,science,0.5714285714285714,0.56,0.5319148936170213,0.03951367781155013,0.028085106382978786
0.4,instruct,truthfulness,0.38,0.5800000000000001,0.5510204081632653,-0.17102040816326525,0.02897959183673482
0.4,instruct_sft,general,0.8936170212765957,0.8125,0.7446808510638299,0.14893617021276584,0.06781914893617014
0.4,instruct_sft,knowledge,0.8571428571428572,0.7346938775510203,0.7111111111111111,0.14603174603174607,0.023582766439909197
0.4,instruct_sft,math,0.6734693877551021,0.5591397849462365,0.43617021276595747,0.23729917498914466,0.12296957218027904
0.4,instruct_sft,opinion,0.851063829787234,0.7708333333333334,0.6808510638297872,0.17021276595744683,0.08998226950354615
0.4,instruct_sft,reasoning,0.8163265306122449,0.72,0.5800000000000001,0.23632653061224485,0.1399999999999999
0.4,instruct_sft,science,0.8571428571428572,0.6739130434782609,0.6,0.25714285714285723,0.07391304347826089
0.4,instruct_sft,truthfulness,0.8200000000000001,0.5714285714285714,0.4285714285714286,0.39142857142857146,0.1428571428571428
0.4,instruct_dpo,general,0.7,0.8,0.7555555555555555,-0.05555555555555558,0.04444444444444451
0.4,instruct_dpo,knowledge,0.7,0.72,0.7291666666666667,-0.029166666666666785,-0.009166666666666767
