variant,temperature,condition_name,n_denominator,ber_pressure,ber_pressure_lo,ber_pressure_hi,ber_control,ber_ctrl_lo,ber_ctrl_hi,conformity_effect,ce_lo,ce_hi
instruct,0.8,authority_zhu_unbiased_trust,400.0,0.3075,0.2642866432019798,0.3543757234288972,0.07,0.048871304519740505,0.0993095663959849,0.2375,0.1649770768059949,0.3055044189091567
instruct,0.8,authority_zhu_unbiased_trust_da,400.0,0.2925,0.25006128808159916,0.3388864577672683,0.07,0.048871304519740505,0.0993095663959849,0.22249999999999998,0.15075172168561427,0.2900151532475278
instruct,1.0,asch_history_5,400.0,0.2025,0.16603317911938578,0.24462684203742427,0.0575,0.038617261729224514,0.08480142520149289,0.14500000000000002,0.08123175391789289,0.20600958030819977
instruct,1.0,asch_zhu_unbiased_da,400.0,0.185,0.15000638716506282,0.225986576412736,0.0575,0.038617261729224514,0.08480142520149289,0.1275,0.06520496196356992,0.18736931468351148
instruct,1.0,asch_zhu_unbiased_diverse_plain,400.0,0.1325,0.10274473201637832,0.16924705882438698,0.0575,0.038617261729224514,0.08480142520149289,0.07500000000000001,0.01794330681488543,0.13062979709516248
instruct,1.0,asch_zhu_unbiased_qd,400.0,0.17,0.13636842234813634,0.20990992044765294,0.0575,0.038617261729224514,0.08480142520149289,0.11250000000000002,0.05156699714664345,0.17129265871842841
instruct,1.0,asch_zhu_unbiased_unanimous_confident,400.0,0.475,0.4265318481465433,0.5239437838834407,0.0575,0.038617261729224514,0.08480142520149289,0.4175,0.3417304229450504,0.4853265221542161
instruct,1.0,asch_zhu_unbiased_unanimous_neutral,400.0,0.45,0.40195136207927884,0.4989999019806892,0.0575,0.038617261729224514,0.08480142520149289,0.3925,0.3171499368777859,0.4603826402514647
instruct,1.0,asch_zhu_unbiased_unanimous_plain,400.0,0.2275,0.1891226131151639,0.2710617760116621,0.0575,0.038617261729224514,0.08480142520149289,0.17,0.10432118791367101,0.23244451428243756
instruct,1.0,asch_zhu_unbiased_unanimous_uncertain,400.0,0.34,0.2952948324121193,0.38774921257977857,0.0575,0.038617261729224514,0.08480142520149289,0.28250000000000003,0.2104934072106264,0.34913195085055404
instruct,1.0,authoritative_bias,400.0,0.3,0.2571669255289339,0.34663813071093835,0.0575,0.038617261729224514,0.08480142520149289,0.2425,0.172365500327441,0.3080208689817138
instruct,1.0,authority_zhu_unbiased_trust,400.0,0.295,0.2524282507849876,0.3414719318608814,0.0575,0.038617261729224514,0.08480142520149289,0.2375,0.1676268255834947,0.30285467013165684
instruct,1.0,authority_zhu_unbiased_trust_da,400.0,0.31,0.26666296102378073,0.35695184240409794,0.0575,0.038617261729224514,0.08480142520149289,0.2525,0.18186153582228784,0.3183345806748734
instruct_dpo,0.0,asch_history_5,400.0,0.185,0.15000638716506282,0.225986576412736,0.065,0.04474017569726697,0.09353582162445521,0.12,0.0564705655406076,0.18124640071546905
instruct_dpo,0.0,asch_zhu_unbiased_da,400.0,0.1675,0.13410501884963513,0.20722088714915257,0.065,0.04474017569726697,0.09353582162445521,0.10250000000000001,0.04056919722517992,0.16248071145188558
instruct_dpo,0.0,asch_zhu_unbiased_diverse_plain,400.0,0.1225,0.09391269296642377,0.15826935068633516,0.065,0.04474017569726697,0.09353582162445521,0.057499999999999996,0.00037687134196855154,0.11352917498906819
instruct_dpo,0.0,asch_zhu_unbiased_qd,400.0,0.1225,0.09391269296642377,0.15826935068633516,0.065,0.04474017569726697,0.09353582162445521,0.057499999999999996,0.00037687134196855154,0.11352917498906819
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_confident,400.0,0.39,0.3434632828365625,0.4386294980953673,0.065,0.04474017569726697,0.09353582162445521,0.325,0.2499274612121073,0.3938893223981003
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_neutral,400.0,0.4425,0.3946010465039066,0.49149290716505667,0.065,0.04474017569726697,0.09353582162445521,0.3775,0.30106522487945137,0.4467527314677897
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_plain,400.0,0.175,0.140903632613942,0.21527958377585044,0.065,0.04474017569726697,0.09353582162445521,0.10999999999999999,0.047367810989486794,0.17053940807858348
