variant,temperature,condition_name,n_denominator,n_correct,correct_rate_p,correct_rate_lo,correct_rate_hi
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_plain,400.0,95.0,0.2375,0.19841684319432581,0.2815772931205065
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_uncertain,400.0,126.0,0.315,0.27142015327845737,0.36209952374342447
instruct_dpo,0.4,authoritative_bias,400.0,84.0,0.21,0.17293709734247628,0.2525802342053385
instruct_dpo,0.4,authority_zhu_unbiased_trust,400.0,113.0,0.2825,0.24060954581038724,0.3285284528504738
instruct_dpo,0.4,authority_zhu_unbiased_trust_da,400.0,109.0,0.2725,0.23118418800549204,0.3181440634673627
instruct_dpo,0.4,control,400.0,145.0,0.3625,0.31690358933984025,0.4107123868250719
instruct_dpo,0.6,asch_history_5,400.0,114.0,0.285,0.24297004043196901,0.33112039502589363
instruct_dpo,0.6,asch_zhu_unbiased_da,400.0,84.0,0.21,0.17293709734247628,0.2525802342053385
instruct_dpo,0.6,asch_zhu_unbiased_diverse_plain,400.0,94.0,0.235,0.1960903097272598,0.278951389790571
instruct_dpo,0.6,asch_zhu_unbiased_qd,400.0,84.0,0.21,0.17293709734247628,0.2525802342053385
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_confident,400.0,77.0,0.1925,0.15686042573701753,0.2339898482317861
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_neutral,400.0,86.0,0.215,0.17755084865785345,0.25787135648396453
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_plain,400.0,93.0,0.2325,0.1937657455982035,0.2763235171226257
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_uncertain,400.0,113.0,0.2825,0.24060954581038724,0.3285284528504738
instruct_dpo,0.6,authoritative_bias,400.0,84.0,0.21,0.17293709734247628,0.2525802342053385
instruct_dpo,0.6,authority_zhu_unbiased_trust,400.0,109.0,0.2725,0.23118418800549204,0.3181440634673627
instruct_dpo,0.6,authority_zhu_unbiased_trust_da,400.0,100.0,0.25,0.21007832849376823,0.29467799180607207
instruct_dpo,0.6,control,400.0,136.0,0.34,0.2952948324121193,0.38774921257977857
instruct_dpo,0.8,asch_history_5,400.0,124.0,0.31,0.26666296102378073,0.35695184240409794
instruct_dpo,0.8,asch_zhu_unbiased_da,400.0,85.0,0.2125,0.17524287819884765,0.2552268901459687
instruct_dpo,0.8,asch_zhu_unbiased_diverse_plain,400.0,89.0,0.2225,0.18448762755400633,0.2657918879788165
instruct_dpo,0.8,asch_zhu_unbiased_qd,400.0,90.0,0.225,0.18680409020181676,0.2684278621280076
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_confident,400.0,74.0,0.185,0.15000638716506282,0.225986576412736
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_neutral,400.0,82.0,0.205,0.1683322182508118,0.24728023970299978
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_plain,400.0,84.0,0.21,0.17293709734247628,0.2525802342053385
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_uncertain,400.0,112.0,0.28,0.23825069981202085,0.32593486205183864
instruct_dpo,0.8,authoritative_bias,400.0,83.0,0.2075,0.17063353432585826,0.24993136042495495
instruct_dpo,0.8,authority_zhu_unbiased_trust,400.0,110.0,0.275,0.2335380071267212,0.32074268114313514
instruct_dpo,0.8,authority_zhu_unbiased_trust_da,400.0,101.0,0.2525,0.21241625232287653,0.2972925047739654
instruct_dpo,0.8,control,400.0,147.0,0.3675,0.32172062764064313,0.41580022211827217
instruct_dpo,1.0,asch_history_5,400.0,135.0,0.3375,0.29290085318846415,0.3851907550064321
instruct_dpo,1.0,asch_zhu_unbiased_da,400.0,90.0,0.225,0.18680409020181676,0.2684278621280076
instruct_dpo,1.0,asch_zhu_unbiased_diverse_plain,400.0,81.0,0.2025,0.16603317911938578,0.24462684203742427
instruct_dpo,1.0,asch_zhu_unbiased_qd,400.0,82.0,0.205,0.1683322182508118,0.24728023970299978
instruct_dpo,1.0,asch_zhu_unbiased_unanimous_confident,400.0,60.0,0.15,0.11834447398799032,0.18831437443178617
instruct_dpo,1.0,asch_zhu_unbiased_unanimous_neutral,400.0,84.0,0.21,0.17293709734247628,0.2525802342053385
instruct_dpo,1.0,asch_zhu_unbiased_unanimous_plain,400.0,88.0,0.22,0.18217324955825856,0.26315382917756264
